Timestamp (UTC),Platform,Asset,Open Interest (Millions USD)
2025-10-08 00:34:11,Lighter,BTC,645.86265675
2025-10-08 00:34:11,Lighter,ETH,378.01451377999996
2025-10-08 00:34:11,Hyperliquid,BTC,4214.93304552
2025-10-08 00:34:11,Hyperliquid,ETH,3091.1899518699997
2025-10-08 00:38:37,Lighter,BTC,647.9256881
2025-10-08 00:38:37,Lighter,ETH,378.42509277999994
2025-10-08 00:38:37,Hyperliquid,BTC,4228.0024920900005
2025-10-08 00:38:37,Hyperliquid,ETH,3096.75204571
2025-10-08 00:43:37,Lighter,BTC,649.58295502
2025-10-08 00:43:37,Lighter,ETH,377.87023979
2025-10-08 00:43:37,Hyperliquid,BTC,4229.13112672
2025-10-08 00:43:37,Hyperliquid,ETH,3102.23183517
2025-10-08 00:48:37,Lighter,BTC,656.95168547
2025-10-08 00:48:37,Lighter,ETH,378.07120557999997
2025-10-08 00:48:37,Hyperliquid,BTC,4261.950966
2025-10-08 00:48:37,Hyperliquid,ETH,3173.45407611
2025-10-08 00:53:37,Lighter,BTC,661.0367700099999
2025-10-08 00:53:37,Lighter,ETH,379.86650361
2025-10-08 00:53:37,Hyperliquid,BTC,4265.580424
2025-10-08 00:53:37,Hyperliquid,ETH,3189.19962821
2025-10-08 00:58:37,Lighter,BTC,660.29682154
2025-10-08 00:58:37,Lighter,ETH,379.32468811
2025-10-08 00:58:37,Hyperliquid,BTC,4249.76821808
2025-10-08 00:58:37,Hyperliquid,ETH,3200.002528
2025-10-08 01:03:37,Lighter,BTC,661.18641166
2025-10-08 01:03:37,Lighter,ETH,377.0614412
2025-10-08 01:03:37,Hyperliquid,BTC,4249.52439645
2025-10-08 01:03:37,Hyperliquid,ETH,3200.80643466
2025-10-08 01:08:37,Lighter,BTC,661.44347452
2025-10-08 01:08:37,Lighter,ETH,376.50435957999997
2025-10-08 01:08:37,Hyperliquid,BTC,4252.336263650001
2025-10-08 01:08:37,Hyperliquid,ETH,3206.21283488
2025-10-08 01:13:37,Lighter,BTC,661.82107712
2025-10-08 01:13:37,Lighter,ETH,375.91999798
2025-10-08 01:13:37,Hyperliquid,BTC,4226.95526662
2025-10-08 01:13:37,Hyperliquid,ETH,3196.84333031
2025-10-08 01:18:37,Lighter,BTC,664.08195286
2025-10-08 01:18:37,Lighter,ETH,376.87964639
2025-10-08 01:18:37,Hyperliquid,BTC,4237.47666528
2025-10-08 01:18:37,Hyperliquid,ETH,3218.3421833
2025-10-08 01:23:37,Lighter,BTC,667.04457193
2025-10-08 01:23:37,Lighter,ETH,382.69318331
2025-10-08 01:23:37,Hyperliquid,BTC,4247.89609133
2025-10-08 01:23:37,Hyperliquid,ETH,3225.1943190300003
2025-10-08 01:28:37,Lighter,BTC,665.4691063099999
2025-10-08 01:28:37,Lighter,ETH,382.40593306
2025-10-08 01:28:37,Hyperliquid,BTC,4244.95664586
2025-10-08 01:28:37,Hyperliquid,ETH,3241.58156087
2025-10-08 01:33:37,Lighter,BTC,666.83923966
2025-10-08 01:33:37,Lighter,ETH,381.92094387000003
2025-10-08 01:33:37,Hyperliquid,BTC,4245.33046628
2025-10-08 01:33:37,Hyperliquid,ETH,3258.2741365700003
2025-10-08 01:38:37,Lighter,BTC,667.32884922
2025-10-08 01:38:37,Lighter,ETH,379.497723
2025-10-08 01:38:37,Hyperliquid,BTC,4242.8959568400005
2025-10-08 01:38:37,Hyperliquid,ETH,3248.7552203600003
2025-10-08 01:43:37,Lighter,BTC,668.54682766
2025-10-08 01:43:37,Lighter,ETH,379.82204257999996
2025-10-08 01:43:37,Hyperliquid,BTC,4239.12424757
2025-10-08 01:43:37,Hyperliquid,ETH,3238.1567672600004
2025-10-08 01:48:37,Lighter,BTC,669.39989589
2025-10-08 01:48:37,Lighter,ETH,379.91619810000003
2025-10-08 01:48:37,Hyperliquid,BTC,4238.37553256
2025-10-08 01:48:37,Hyperliquid,ETH,3245.05256817
2025-10-08 01:53:37,Lighter,BTC,671.04717554
2025-10-08 01:53:37,Lighter,ETH,379.55143813999996
2025-10-08 01:53:37,Hyperliquid,BTC,4239.22932087
2025-10-08 01:53:37,Hyperliquid,ETH,3245.53549614
2025-10-08 01:58:37,Lighter,BTC,673.28326615
2025-10-08 01:58:37,Lighter,ETH,379.44091998000005
2025-10-08 01:58:37,Hyperliquid,BTC,4238.77997262
2025-10-08 01:58:37,Hyperliquid,ETH,3243.38958542
2025-10-08 02:03:37,Lighter,BTC,673.0329795299999
2025-10-08 02:03:37,Lighter,ETH,379.96429079
2025-10-08 02:03:37,Hyperliquid,BTC,4235.95201131
2025-10-08 02:03:37,Hyperliquid,ETH,3244.6400114099997
2025-10-08 02:08:37,Lighter,BTC,673.0488980700001
2025-10-08 02:08:37,Lighter,ETH,379.41204693000003
2025-10-08 02:08:37,Hyperliquid,BTC,4234.8291827699995
2025-10-08 02:08:37,Hyperliquid,ETH,3237.64366767
2025-10-08 02:13:37,Lighter,BTC,676.11698011
2025-10-08 02:13:37,Lighter,ETH,380.84392072
2025-10-08 02:13:37,Hyperliquid,BTC,4238.84156651
2025-10-08 02:13:37,Hyperliquid,ETH,3243.84537964
2025-10-08 02:18:37,Lighter,BTC,678.9106483300001
2025-10-08 02:18:37,Lighter,ETH,381.61125018
2025-10-08 02:18:37,Hyperliquid,BTC,4238.45208239
2025-10-08 02:18:37,Hyperliquid,ETH,3247.54799782
2025-10-08 02:23:37,Lighter,BTC,679.2314568300001
2025-10-08 02:23:37,Lighter,ETH,384.224201
2025-10-08 02:23:37,Hyperliquid,BTC,4231.10391026
2025-10-08 02:23:37,Hyperliquid,ETH,3256.14367762
2025-10-08 02:28:37,Lighter,BTC,679.76820185
2025-10-08 02:28:37,Lighter,ETH,387.09450037
2025-10-08 02:28:37,Hyperliquid,BTC,4224.04699761
2025-10-08 02:28:37,Hyperliquid,ETH,3257.78194978
2025-10-08 02:33:37,Lighter,BTC,678.58845752
2025-10-08 02:33:37,Lighter,ETH,387.90621562
2025-10-08 02:33:37,Hyperliquid,BTC,4221.3592421799995
2025-10-08 02:33:37,Hyperliquid,ETH,3225.74556441
2025-10-08 02:38:37,Lighter,BTC,676.78350514
2025-10-08 02:38:37,Lighter,ETH,386.78393297
2025-10-08 02:38:37,Hyperliquid,BTC,4209.5803983099995
2025-10-08 02:38:37,Hyperliquid,ETH,3220.11083319
2025-10-08 02:43:37,Lighter,BTC,676.66163585
2025-10-08 02:43:37,Lighter,ETH,387.0468761
2025-10-08 02:43:37,Hyperliquid,BTC,4205.574303320001
2025-10-08 02:43:37,Hyperliquid,ETH,3217.9749896599997
2025-10-08 02:48:37,Lighter,BTC,677.62371273
2025-10-08 02:48:37,Lighter,ETH,388.19159344999997
2025-10-08 02:48:37,Hyperliquid,BTC,4206.31187658
2025-10-08 02:48:37,Hyperliquid,ETH,3220.21328229
2025-10-08 02:53:37,Lighter,BTC,678.28953838
2025-10-08 02:53:37,Lighter,ETH,388.30144267000003
2025-10-08 02:53:37,Hyperliquid,BTC,4213.4645073
2025-10-08 02:53:37,Hyperliquid,ETH,3218.57749037
2025-10-08 02:58:37,Lighter,BTC,674.56788536
2025-10-08 02:58:37,Lighter,ETH,389.50618409
2025-10-08 02:58:37,Hyperliquid,BTC,4212.83213365
2025-10-08 02:58:37,Hyperliquid,ETH,3217.4742075999998
2025-10-08 03:03:37,Lighter,BTC,672.5592151799999
2025-10-08 03:03:37,Lighter,ETH,386.74221378
2025-10-08 03:03:37,Hyperliquid,BTC,4203.95077566
2025-10-08 03:03:37,Hyperliquid,ETH,3205.73786034
2025-10-08 03:14:39,Lighter,BTC,672.34933428
2025-10-08 03:14:39,Lighter,ETH,385.46804550999997
2025-10-08 03:14:39,Hyperliquid,BTC,4200.78541031
2025-10-08 03:14:39,Hyperliquid,ETH,3199.17805006
2025-10-08 03:14:39,Lighter,BTC,672.3307412
2025-10-08 03:14:39,Lighter,ETH,385.41501482
2025-10-08 03:14:39,Hyperliquid,BTC,4200.78541031
2025-10-08 03:14:39,Hyperliquid,ETH,3199.17805006
2025-10-08 03:19:39,Lighter,BTC,672.87549098
2025-10-08 03:19:39,Lighter,ETH,385.79981133
2025-10-08 03:19:39,Hyperliquid,BTC,4217.68437242
2025-10-08 03:19:39,Hyperliquid,ETH,3198.39779421
2025-10-08 03:19:39,Lighter,BTC,672.92472705
2025-10-08 03:19:39,Lighter,ETH,385.80239738
2025-10-08 03:19:39,Hyperliquid,BTC,4217.68437242
2025-10-08 03:19:39,Hyperliquid,ETH,3198.39779421
2025-10-08 03:48:01,Lighter,BTC,655.01539246
2025-10-08 03:48:01,Lighter,ETH,376.26141638
